NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 1 , 3 , 4 , 6 , 8 , 9 , 9 , 10 , 13 , 15 , 17 , 18 , 19 , 20 , 19 , 22 , 28 , 49 , 75 , 88 , 81 , 81 , 122 , 187 , 273 , 329 , 467 , 703 , 889 ," 1,149 "," 1,376 "," 1,715 "," 2,026 "," 2,547 "," 2,968 "," 3,905 "," 5,222 "," 5,546 "," 5,908 "," 6,825 "," 7,525 "," 8,103 "," 9,114 "," 10,416 "," 13,873 "," 14,431 "," 15,732 "," 18,987 "," 28,156 "," 34,877 "," 35,874 "," 33,111 "," 37,060 "," 35,416 "
                          Federal  , -   , -   , -   , -   , -   , -   , 1 , 2 , 2 , 3 , 4 , 5 , 5 , 6 , 7 , 9 , 10 , 10 , 11 , 11 , 9 , 10 , 13 , 24 , 37 , 42 , 38 , 36 , 55 , 85 , 132 , 185 , 264 , 400 , 508 , 652 , 767 , 966 ," 1,165 "," 1,460 "," 1,697 "," 2,245 "," 2,979 "," 3,290 "," 3,435 "," 3,877 "," 4,273 "," 4,629 "," 5,444 "," 7,071 "," 9,547 "," 8,877 "," 9,079 "," 10,887 "," 17,898 "," 23,292 "," 24,248 "," 20,098 "," 23,634 "," 22,278 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 2 , 3 , 4 , 4 , 4 , 5 , 6 , 7 , 8 , 8 , 9 , 11 , 12 , 15 , 25 , 38 , 46 , 43 , 45 , 68 , 102 , 140 , 144 , 204 , 303 , 380 , 498 , 609 , 749 , 861 ," 1,087 "," 1,271 "," 1,660 "," 2,243 "," 2,256 "," 2,473 "," 2,948 "," 3,252 "," 3,474 "," 3,670 "," 3,346 "," 4,326 "," 5,555 "," 6,652 "," 8,101 "," 10,259 "," 11,584 "," 11,626 "," 13,014 "," 13,426 "," 13,138 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 91 , 178 , 296 , 450 , 476 , 499 , 533 , 605 , 672 , 768 , 814 ," 1,023 "," 1,045 ", 958 ," 1,034 "," 1,127 "," 1,266 "," 1,392 "," 1,317 "," 1,355 "," 1,453 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 , 62 , 121 , 203 , 310 , 329 , 347 , 369 , 416 , 464 , 533 , 566 , 705 , 722 , 660 , 712 , 783 , 949 ," 1,261 "," 1,205 "," 1,250 "," 1,305 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , 30 , 57 , 92 , 140 , 146 , 152 , 164 , 190 , 207 , 235 , 249 , 318 , 322 , 298 , 322 , 343 , 317 , 131 , 112 , 105 , 149 
         Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Third Party Payers and Programs, 245 , 255 , 288 , 297 , 330 , 377 , 423 , 456 , 542 , 550 , 582 , 596 , 702 , 824 , 812 , 838 , 983 ," 1,365 "," 1,694 "," 2,100 "," 2,294 "," 2,543 "," 2,852 "," 2,832 "," 2,889 "," 3,072 "," 2,769 "," 3,063 "," 3,651 "," 3,860 "," 4,403 "," 4,031 "," 4,805 "," 6,823 "," 7,818 "," 8,084 "," 8,410 "," 7,891 "," 7,857 "," 8,248 "," 9,732 "," 10,964 "," 14,139 "," 18,508 "," 20,584 "," 22,207 "," 24,749 "," 23,026 "," 18,862 "," 16,888 "," 17,052 "," 17,003 "," 19,399 "," 21,818 "," 22,846 "," 23,987 "," 23,618 "," 24,898 "," 27,454 "," 27,419 "
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues, 78 , 85 , 94 , 96 , 106 , 124 , 132 , 127 , 150 , 125 , 132 , 185 , 272 , 293 , 242 , 262 , 398 , 625 , 734 , 762 , 715 , 865 ," 1,067 "," 1,260 "," 1,733 "," 1,778 "," 1,509 "," 1,286 "," 1,712 "," 2,331 "," 2,675 "," 2,663 "," 2,800 "," 3,388 "," 3,434 "," 3,479 "," 3,723 "," 3,637 "," 3,714 "," 4,257 "," 4,860 "," 5,306 "," 6,809 "," 9,145 "," 10,482 "," 10,443 "," 11,710 "," 10,495 "," 9,111 "," 9,698 "," 9,845 "," 8,604 "," 8,974 "," 10,160 "," 9,932 "," 9,641 "," 8,738 "," 10,115 "," 12,787 "," 12,774 "
         Indian Health Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Workers' Compensation, 167 , 170 , 194 , 200 , 225 , 253 , 291 , 329 , 392 , 426 , 450 , 411 , 430 , 530 , 570 , 576 , 585 , 741 , 960 ," 1,338 "," 1,579 "," 1,678 "," 1,785 "," 1,571 "," 1,156 "," 1,294 "," 1,261 "," 1,777 "," 1,939 "," 1,529 "," 1,727 "," 1,367 "," 2,005 "," 3,435 "," 4,384 "," 4,605 "," 4,687 "," 4,254 "," 4,142 "," 3,990 "," 4,872 "," 5,658 "," 7,329 "," 9,362 "," 10,102 "," 11,764 "," 13,039 "," 12,530 "," 9,751 "," 7,190 "," 7,205 "," 8,390 "," 10,386 "," 11,588 "," 12,899 "," 14,346 "," 14,880 "," 14,783 "," 14,667 "," 14,645 "
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Vocational Rehabilitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Federal Programs*, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 9 , 40 , 70 , 15 , -   , -   , -   , -   , -   
         SAMHSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other State and Local Programs**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 1 , 3 , 4 , 6 , 8 , 9 , 9 , 10 , 13 , 15 , 17 , 18 , 19 , 20 , 19 , 26 , 39 , 76 , 133 , 244 , 329 , 429 , 537 , 682 , 863 ," 1,010 "," 1,271 "," 1,889 "," 2,401 "," 3,092 "," 3,829 "," 5,500 "," 6,473 "," 6,105 "," 6,966 "," 8,254 "," 9,403 "," 9,507 "," 11,145 "," 14,348 "," 22,850 "," 26,135 "," 27,966 "," 32,798 "," 38,300 "," 39,995 "," 42,535 "," 46,766 "," 57,695 "," 67,934 "," 73,817 "," 70,533 "," 79,809 "," 81,485 "
Public Health Activity, 371 , 409 , 456 , 509 , 572 , 621 , 733 , 861 , 969 ," 1,174 "," 1,356 "," 1,676 "," 1,855 "," 2,123 "," 2,584 "," 2,967 "," 3,213 "," 3,815 "," 4,588 "," 5,375 "," 6,445 "," 7,531 "," 8,621 "," 9,251 "," 9,842 "," 11,212 "," 12,387 "," 13,572 "," 15,267 "," 17,773 "," 19,997 "," 22,129 "," 24,374 "," 26,779 "," 29,594 "," 31,003 "," 32,377 "," 34,832 "," 37,457 "," 40,731 "," 43,050 "," 46,792 "," 52,201 "," 54,228 "," 54,934 "," 57,252 "," 60,892 "," 65,969 "," 71,559 "," 74,191 "," 75,696 "," 74,425 "," 77,188 "," 81,482 "," 84,365 "," 85,700 "," 88,450 "," 92,052 "," 94,466 "," 97,805 "
  Federal Funds, 102 , 108 , 140 , 208 , 226 , 214 , 294 , 401 , 470 , 564 , 594 , 791 , 893 , 854 , 969 ," 1,043 "," 1,110 "," 1,152 "," 1,154 "," 1,108 "," 1,235 "," 1,216 "," 1,141 "," 1,232 "," 1,298 "," 1,326 "," 1,340 "," 1,529 "," 1,795 "," 2,028 "," 2,263 "," 2,607 "," 2,915 "," 3,167 "," 3,630 "," 3,665 "," 3,759 "," 3,931 "," 4,065 "," 4,546 "," 4,879 "," 5,779 "," 8,018 "," 8,899 "," 8,958 "," 9,169 "," 9,513 "," 9,696 "," 9,880 "," 11,995 "," 14,185 "," 10,729 "," 10,846 "," 10,333 "," 10,833 "," 11,329 "," 11,781 "," 12,603 "," 12,055 "," 13,292 "
  State/Local Funds, 269 , 302 , 316 , 301 , 347 , 407 , 439 , 460 , 499 , 610 , 762 , 885 , 962 ," 1,269 "," 1,615 "," 1,924 "," 2,104 "," 2,663 "," 3,434 "," 4,267 "," 5,210 "," 6,316 "," 7,480 "," 8,019 "," 8,544 "," 9,886 "," 11,047 "," 12,043 "," 13,472 "," 15,745 "," 17,734 "," 19,522 "," 21,459 "," 23,613 "," 25,964 "," 27,338 "," 28,618 "," 30,901 "," 33,392 "," 36,185 "," 38,170 "," 41,013 "," 44,184 "," 45,329 "," 45,977 "," 48,083 "," 51,378 "," 56,274 "," 61,680 "," 62,196 "," 61,511 "," 63,696 "," 66,342 "," 71,149 "," 73,531 "," 74,371 "," 76,669 "," 79,449 "," 82,411 "," 84,513 "
Research, 694 , 886 ," 1,068 "," 1,219 "," 1,366 "," 1,521 "," 1,624 "," 1,775 "," 1,877 "," 1,924 "," 1,953 "," 2,109 "," 2,357 "," 2,502 "," 2,767 "," 3,372 "," 3,707 "," 3,864 "," 4,438 "," 4,805 "," 5,429 "," 5,705 "," 6,025 "," 6,543 "," 7,608 "," 8,320 "," 9,002 "," 10,025 "," 10,836 "," 11,738 "," 12,678 "," 13,819 "," 15,091 "," 16,472 "," 17,758 "," 18,670 "," 17,808 "," 19,640 "," 21,512 "," 23,365 "," 25,475 "," 28,504 "," 32,016 "," 34,844 "," 38,578 "," 40,319 "," 41,163 "," 42,576 "," 44,283 "," 45,348 "," 49,125 "," 49,575 "," 48,380 "," 46,689 "," 46,035 "," 46,387 "," 47,340 "," 50,295 "," 53,603 "," 56,552 "
     Private , 139 , 147 , 153 , 162 , 170 , 176 , 186 , 198 , 208 , 213 , 215 , 233 , 227 , 232 , 252 , 264 , 267 , 220 , 236 , 254 , 292 , 312 , 390 , 456 , 507 , 539 , 782 , 800 , 839 , 882 , 961 ," 1,091 "," 1,208 "," 1,298 "," 1,432 "," 1,563 "," 1,676 "," 1,870 "," 2,040 "," 2,149 "," 2,420 "," 2,464 "," 2,550 "," 2,738 "," 2,991 "," 3,300 "," 3,588 "," 3,896 "," 4,198 "," 4,213 "," 4,463 "," 4,669 "," 4,795 "," 4,761 "," 5,041 "," 5,197 "," 5,382 "," 5,553 "," 5,716 "," 5,886 "
     Federal Gov't, 504 , 680 , 849 , 983 ," 1,112 "," 1,251 "," 1,335 "," 1,466 "," 1,539 "," 1,555 "," 1,556 "," 1,662 "," 1,893 "," 2,022 "," 2,245 "," 2,809 "," 3,119 "," 3,267 "," 3,760 "," 4,082 "," 4,616 "," 4,790 "," 4,955 "," 5,331 "," 6,269 "," 6,830 "," 7,114 "," 7,989 "," 8,618 "," 9,314 "," 9,981 "," 10,854 "," 11,902 "," 13,125 "," 14,149 "," 14,733 "," 13,554 "," 15,037 "," 16,616 "," 18,124 "," 19,695 "," 22,437 "," 25,570 "," 27,891 "," 31,078 "," 32,425 "," 32,800 "," 33,407 "," 34,323 "," 35,233 "," 38,837 "," 39,023 "," 37,764 "," 35,860 "," 34,646 "," 34,754 "," 35,222 "," 37,714 "," 40,553 "," 43,094 "
     State and Local Gov't, 51 , 58 , 66 , 74 , 84 , 94 , 103 , 111 , 130 , 156 , 183 , 213 , 237 , 248 , 270 , 298 , 321 , 377 , 442 , 469 , 520 , 602 , 680 , 756 , 832 , 951 ," 1,107 "," 1,236 "," 1,379 "," 1,542 "," 1,737 "," 1,874 "," 1,981 "," 2,049 "," 2,177 "," 2,374 "," 2,578 "," 2,733 "," 2,855 "," 3,092 "," 3,360 "," 3,602 "," 3,896 "," 4,216 "," 4,509 "," 4,593 "," 4,774 "," 5,273 "," 5,762 "," 5,902 "," 5,825 "," 5,884 "," 5,820 "," 6,068 "," 6,348 "," 6,436 "," 6,735 "," 7,028 "," 7,334 "," 7,572 "
Total Structures and Equipment," 1,874 "," 1,988 "," 2,434 "," 2,538 "," 2,981 "," 3,240 "," 3,342 "," 3,443 "," 3,980 "," 5,058 "," 5,791 "," 6,704 "," 7,503 "," 7,925 "," 8,695 "," 9,345 "," 10,325 "," 10,514 "," 11,465 "," 12,685 "," 15,127 "," 17,789 "," 20,675 "," 22,748 "," 23,320 "," 22,824 "," 23,303 "," 25,645 "," 29,042 "," 31,987 "," 35,877 "," 38,229 "," 42,012 "," 44,411 "," 45,848 "," 46,897 "," 49,279 "," 52,014 "," 57,032 "," 61,041 "," 60,178 "," 61,470 "," 69,437 "," 73,712 "," 78,351 "," 85,213 "," 91,836 "," 103,637 "," 111,991 "," 101,853 "," 103,002 "," 109,174 "," 114,781 "," 116,422 "," 113,521 "," 117,627 "," 119,707 "," 131,222 "," 136,564 "," 145,110 "
     Private ," 1,347 "," 1,481 "," 1,889 "," 1,964 "," 2,358 "," 2,533 "," 2,624 "," 2,550 "," 2,977 "," 3,894 "," 4,468 "," 5,034 "," 5,630 "," 5,816 "," 6,156 "," 6,463 "," 7,105 "," 7,432 "," 8,051 "," 9,034 "," 10,719 "," 13,068 "," 15,755 "," 17,302 "," 17,243 "," 16,272 "," 16,098 "," 17,708 "," 21,004 "," 23,094 "," 26,422 "," 27,867 "," 31,180 "," 32,646 "," 34,293 "," 34,885 "," 36,614 "," 39,308 "," 41,610 "," 44,962 "," 44,553 "," 45,166 "," 50,913 "," 54,215 "," 57,806 "," 63,143 "," 67,016 "," 76,471 "," 82,320 "," 71,791 "," 71,475 "," 76,204 "," 80,996 "," 83,425 "," 80,041 "," 84,258 "," 85,459 "," 95,478 "," 98,775 "," 105,922 "
     Federal Gov't, 126 , 136.00 , 136 , 158 , 169 , 210 , 188 , 157 , 166 , 209 , 324 , 294 , 515 , 718 , 744 , 965 ," 1,042 ", 987 ," 1,245 "," 1,145 "," 1,497 "," 1,748 "," 1,689 "," 2,225 "," 2,622 "," 2,792 "," 3,216 "," 3,566 "," 3,394 "," 3,639 "," 3,689 "," 4,312 "," 4,327 "," 4,892 "," 4,975 "," 5,272 "," 5,883 "," 5,289 "," 7,587 "," 8,209 "," 7,611 "," 7,786 "," 9,376 "," 9,674 "," 10,014 "," 10,401 "," 11,709 "," 12,245 "," 13,533 "," 14,507 "," 16,306 "," 16,909 "," 17,378 "," 16,127 "," 17,129 "," 17,312 "," 17,775 "," 18,727 "," 19,881 "," 21,341 "
     State and Local Gov't, 401 , 371 , 408 , 416 , 454 , 497 , 530 , 736 , 837 , 955 , 999 ," 1,376 "," 1,358 "," 1,391 "," 1,794 "," 1,917 "," 2,178 "," 2,094 "," 2,169 "," 2,507 "," 2,911 "," 2,972 "," 3,231 "," 3,221 "," 3,455 "," 3,760 "," 3,989 "," 4,371 "," 4,644 "," 5,254 "," 5,766 "," 6,050 "," 6,505 "," 6,873 "," 6,580 "," 6,740 "," 6,782 "," 7,417 "," 7,835 "," 7,870 "," 8,014 "," 8,518 "," 9,148 "," 9,823 "," 10,531 "," 11,669 "," 13,111 "," 14,921 "," 16,138 "," 15,554 "," 15,221 "," 16,060 "," 16,407 "," 16,870 "," 16,351 "," 16,056 "," 16,473 "," 17,017 "," 17,908 "," 17,847 "
     Structures," 1,539 "," 1,611 "," 1,992 "," 2,003 "," 2,423 "," 2,647 "," 2,670 "," 2,676 "," 3,129 "," 4,082 "," 4,680 "," 5,604 "," 6,047 "," 6,024 "," 6,488 "," 6,689 "," 7,252 "," 7,052 "," 7,193 "," 7,652 "," 8,831 "," 10,218 "," 11,782 "," 12,696 "," 12,431 "," 11,406 "," 11,322 "," 12,722 "," 14,608 "," 15,158 "," 17,250 "," 17,000 "," 18,605 "," 20,143 "," 21,086 "," 21,141 "," 21,894 "," 23,205 "," 23,865 "," 25,483 "," 25,239 "," 26,117 "," 29,230 "," 31,009 "," 32,992 "," 36,041 "," 41,651 "," 47,344 "," 52,470 "," 47,595 "," 46,788 "," 48,076 "," 50,168 "," 51,400 "," 50,401 "," 50,528 "," 50,593 "," 57,985 "," 61,472 "," 66,357 "
         Private ," 1,069 "," 1,165 "," 1,513 "," 1,509 "," 1,890 "," 2,040 "," 2,083 "," 1,950 "," 2,311 "," 3,184 "," 3,739 "," 4,252 "," 4,741 "," 4,727 "," 4,816 "," 4,842 "," 5,138 "," 5,007 "," 5,103 "," 5,399 "," 6,227 "," 7,598 "," 9,168 "," 10,295 "," 9,937 "," 8,869 "," 8,589 "," 9,690 "," 11,641 "," 12,165 "," 13,831 "," 13,448 "," 14,619 "," 15,898 "," 17,094 "," 16,939 "," 17,517 "," 18,632 "," 19,597 "," 21,611 "," 21,561 "," 22,054 "," 24,336 "," 26,034 "," 27,945 "," 30,436 "," 35,244 "," 39,769 "," 44,559 "," 39,008 "," 38,107 "," 38,524 "," 40,521 "," 41,479 "," 41,626 "," 42,430 "," 42,549 "," 50,016 "," 53,442 "," 58,731 "
         Federal Gov't, 123 , 130 , 134 , 157 , 166 , 208 , 187 , 139 , 140 , 128 , 159 , 211 , 205 , 209 , 253 , 364 , 415 , 489 , 576 , 558 , 648 , 753 , 700 , 673 , 784 , 780 , 874 , 997 , 918 , 861 , 976 , 864 , 938 ," 1,066 "," 1,025 "," 1,125 "," 1,334 "," 1,346 "," 1,018 ", 852 , 774 , 723 , 873 , 711 , 659 , 681 , 746 ," 1,014 ", 944 ," 1,763 "," 2,127 "," 2,589 "," 2,620 "," 2,660 "," 2,348 "," 2,242 "," 2,140 "," 2,091 "," 2,137 "," 2,129 "
         State and Local Gov't, 347 , 316 , 345 , 337 , 367 , 399 , 400 , 587 , 678 , 770 , 782 ," 1,141 "," 1,101 "," 1,088 "," 1,419 "," 1,483 "," 1,699 "," 1,556 "," 1,514 "," 1,695 "," 1,956 "," 1,867 "," 1,914 "," 1,728 "," 1,710 "," 1,757 "," 1,859 "," 2,035 "," 2,049 "," 2,132 "," 2,443 "," 2,688 "," 3,048 "," 3,179 "," 2,967 "," 3,077 "," 3,043 "," 3,227 "," 3,250 "," 3,020 "," 2,904 "," 3,340 "," 4,021 "," 4,264 "," 4,388 "," 4,924 "," 5,661 "," 6,561 "," 6,967 "," 6,824 "," 6,554 "," 6,963 "," 7,027 "," 7,261 "," 6,427 "," 5,856 "," 5,904 "," 5,878 "," 5,893 "," 5,497 "
     Equipment, 335 , 377 , 442 , 535 , 558 , 593 , 672 , 767 , 851 , 976 ," 1,111 "," 1,100 "," 1,456 "," 1,901 "," 2,207 "," 2,656 "," 3,073 "," 3,462 "," 4,272 "," 5,034 "," 6,296 "," 7,571 "," 8,893 "," 10,053 "," 10,889 "," 11,418 "," 11,981 "," 12,923 "," 14,434 "," 16,829 "," 18,627 "," 21,228 "," 23,407 "," 24,268 "," 24,762 "," 25,756 "," 27,385 "," 28,809 "," 33,167 "," 35,558 "," 34,939 "," 35,353 "," 40,207 "," 42,703 "," 45,360 "," 49,171 "," 50,185 "," 56,292 "," 59,521 "," 54,257 "," 56,214 "," 61,098 "," 64,613 "," 65,023 "," 63,121 "," 67,099 "," 69,114 "," 73,236 "," 75,092 "," 78,753 "
          Private , 278 , 316 , 377 , 455 , 468 , 493 , 541 , 600 , 666 , 710 , 729 , 782 , 889 ," 1,089 "," 1,341 "," 1,621 "," 1,967 "," 2,426 "," 2,948 "," 3,635 "," 4,492 "," 5,471 "," 6,587 "," 7,008 "," 7,306 "," 7,403 "," 7,509 "," 8,018 "," 9,363 "," 10,929 "," 12,591 "," 14,418 "," 16,561 "," 16,748 "," 17,199 "," 17,946 "," 19,097 "," 20,676 "," 22,013 "," 23,351 "," 22,992 "," 23,112 "," 26,577 "," 28,181 "," 29,861 "," 32,707 "," 31,772 "," 36,701 "," 37,762 "," 32,783 "," 33,368 "," 37,681 "," 40,475 "," 41,947 "," 38,415 "," 41,829 "," 42,910 "," 45,461 "," 45,333 "," 47,191 "
          Federal Gov't, 3 , 6 , 2 , 1 , 3 , 2 , 1 , 18 , 26 , 81 , 165 , 83 , 310 , 509 , 491 , 601 , 627 , 498 , 669 , 587 , 849 , 995 , 989 ," 1,552 "," 1,838 "," 2,012 "," 2,342 "," 2,569 "," 2,476 "," 2,778 "," 2,713 "," 3,448 "," 3,389 "," 3,826 "," 3,950 "," 4,147 "," 4,549 "," 3,943 "," 6,569 "," 7,357 "," 6,837 "," 7,063 "," 8,503 "," 8,963 "," 9,355 "," 9,720 "," 10,963 "," 11,231 "," 12,589 "," 12,744 "," 14,179 "," 14,320 "," 14,758 "," 13,467 "," 14,781 "," 15,070 "," 15,635 "," 16,636 "," 17,744 "," 19,212 "
          State and Local Gov't, 54 , 55 , 63 , 79 , 87 , 98 , 130 , 149 , 159 , 185 , 217 , 235 , 257 , 303 , 375 , 434 , 479 , 538 , 655 , 812 , 955 ," 1,105 "," 1,317 "," 1,493 "," 1,745 "," 2,003 "," 2,130 "," 2,336 "," 2,595 "," 3,122 "," 3,323 "," 3,362 "," 3,457 "," 3,694 "," 3,613 "," 3,663 "," 3,739 "," 4,190 "," 4,585 "," 4,850 "," 5,110 "," 5,178 "," 5,127 "," 5,559 "," 6,143 "," 6,745 "," 7,450 "," 8,360 "," 9,171 "," 8,730 "," 8,667 "," 9,097 "," 9,380 "," 9,609 "," 9,924 "," 10,200 "," 10,569 "," 11,139 "," 12,015 "," 12,350 "
"* Other Federal Programs include OEO, Federal General and Medical, Federal General and Medical NEC, and High Risk Pools under ACA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Other State and Local Programs include State and Local Subsidies and TDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
